x,y,z
182.1561061251688,46.123528081078405,a
141.2346550176195,46.50962823651406,a
128.77891362533768,76.80261101369064,a
178.36104202735822,96.73506966736477,a
177.62911219659742,114.89943510635703,a
217.65199134366495,66.26005840172098,a
182.37791221410492,73.70305271976775,a
242.0384940077166,93.18073738819044,a
222.02295633839503,72.21584366021943,a
158.85851515366255,86.20562042970658,a
216.7925392551155,110.3612755724306,a
245.35979232940403,147.33635455804074,a
223.77636044897434,107.73389141392221,a
240.15889017283817,155.4433664606803,a
171.717985802101,134.9892431666276,a
252.55923451029207,158.0073889663105,a
209.05323322426932,105.96354518175787,a
230.81676967765537,168.19305687977726,a
221.02872969680163,136.81136877690756,a
253.14693550630034,145.4015393925589,a
259.95587766475677,133.8397221251288,a
192.4726246020438,138.43825941249128,a
226.85468706615865,168.34802196815264,a
271.7721069762368,172.7585816352764,a
248.59801851563975,127.15042061393427,a
200.63535499921971,149.04189173763547,a
243.03833996361237,156.0213906956031,a
240.20761140411352,186.27259736787545,a
207.08540981648116,128.08612145350259,a
231.38969690282204,157.0703916922231,a
272.93037801231924,129.49280470862203,a
246.58418736614365,156.13802608835067,a
249.9168358989113,194.6303352444208,a
250.98641024195115,185.9187557136152,a
245.45146848624915,224.37055149821816,a
231.34139628466096,218.23568753025972,a
257.4898466410288,231.62180386673026,a
278.6337026039431,199.61316601276786,a
260.84479721326113,201.29207675879928,a
288.3656760982534,169.49155725637524,a
281.26012114173903,179.08650286441434,a
313.2004296208835,202.60842164675108,a
261.80292578894597,231.37858866412682,a
276.5346674982058,194.96172611287852,a
255.61658862085704,247.84666095066925,a
243.3563913080187,191.58184396484705,a
274.0179790828932,200.8754613015072,a
299.107997262719,190.09857144148737,a
243.3249704492585,205.6247385416758,a
290.47599475095205,180.4006382585136,a
285.1056493958819,258.9997013468289,a
321.6532890024803,207.70209824505514,a
274.3385281362914,221.47329824116684,a
253.82652882397045,184.5605287732928,a
271.35690908751855,201.71171723904683,a
296.40833252244386,184.76791350796083,a
288.68330789784454,259.89225714468125,a
317.0311362044983,250.57045175597312,a
347.55423269243033,233.9997832298181,a
338.9678262096069,204.4022893605337,a
349.2772273390879,268.25338607253155,a
343.7727785735247,251.4680130673957,a
324.82407852285945,184.8568263444172,a
314.1555853404013,239.2745876655547,a
300.61347986785154,259.9940055653169,a
308.8324443311506,222.60277883860965,a
391.53967047611843,197.47092356117543,a
335.79434156297583,267.28541144926294,a
359.75557667364205,286.60832108282284,a
298.4695600961706,288.8973655926383,a
327.1062965687397,229.84926468976363,a
393.1556659847688,249.44968604948343,a
391.0941076309923,239.70869826199612,a
375.0479374640382,235.96721717460605,a
346.3452262760522,236.0679544396006,a
368.0339514659556,234.92424377557518,a
317.3398027502131,282.33040692754963,a
335.533441702971,274.0100060292684,a
365.51844309878317,285.8641908920694,a
