x,y,z
116.07348773605068,157.61056848103874,a
89.7290397489375,174.8397268780103,a
149.69805021919822,163.41463434713813,a
177.49153690444996,178.1235961188949,a
124.15481361846365,174.4143161755183,a
122.51324596421657,197.74552521577772,a
158.16173818974843,187.06359433156155,a
127.91844744559644,195.83871774611288,a
127.0758622723029,176.3475474324323,a
121.75500333812164,202.14574708515607,a
97.3874990943817,195.64822337476272,a
175.93558818917168,228.82140920928384,a
144.91531140528866,188.12585885102135,a
178.93225506598588,221.93348741631212,a
168.44662196483026,174.13391950354446,a
174.41657315996483,218.00398594587688,a
120.68278198256778,246.63149475266505,a
188.75168079563787,249.32207176038452,a
126.35252936797022,222.65467268428534,a
167.07731129194167,205.89065328351097,a
145.5055714503852,244.555981298607,a
177.75465362107695,231.38159446426363,a
153.83844259009228,276.66776544458094,a
159.877011071114,291.47089657155107,a
121.86501491556382,255.25473195152583,a
149.78743521671072,277.7540247023249,a
230.75195100518368,282.87038688984717,a
185.02349663524447,275.847688180834,a
200.4052832829091,277.66776135851467,a
180.63044389770727,287.027436390821,a
162.04774112548643,261.01996769712014,a
235.03800505764087,285.7981649238658,a
198.27765877736329,324.7904598922609,a
215.50217307058097,290.9946279037414,a
211.22117451505264,312.76775134172533,a
195.91158884354863,299.4711067531713,a
216.34959393246035,351.6667029787286,a
243.23010367966955,328.5212664064163,a
198.92910296732006,317.3490084196228,a
234.3442662647381,306.4802458505661,a
201.12441228665742,279.61144739970695,a
206.32751588553697,322.26041006623336,a
200.80191381411106,363.94890076475275,a
232.51020669978774,323.59409221822773,a
219.15196293747454,301.34772341892665,a
274.6157549587856,353.3166547720774,a
231.6703301089425,332.526230994968,a
261.6918822205615,329.96718275746264,a
232.90832980414493,312.792801279921,a
235.77673701611937,343.55959180655617,a
263.18385351742165,345.3613997651943,a
258.6419429831687,373.947770802447,a
238.54143437251815,355.7686792442763,a
271.95919581484776,338.54006175562654,a
292.5795494121871,373.5614966100414,a
262.6029550078969,350.4960568818184,a
277.4632126476332,332.2649140064643,a
237.27505426125057,339.68024249725977,a
277.85767027123575,377.85053805954993,a
332.91492849316705,358.4599541250418,a
311.4064191876629,335.9734619599303,a
324.04210394312815,382.7620272495815,a
337.32994799101937,364.251929380556,a
310.13491699676837,343.5417339343393,a
287.26095793520017,344.6667796121369,a
242.89697280982602,328.08684312422486,a
343.5764218730845,377.55590316464236,a
290.5147691795987,347.31678512207276,a
339.84010188804166,361.3893661811487,a
351.52748509373265,351.9468783898782,a
381.8916517092141,413.1371894820736,a
315.21744815190164,329.3933125811112,a
345.48852937970327,352.7348593544616,a
334.7235617005074,353.77924421804096,a
332.5388032269042,368.8703209588299,a
343.2717298838841,329.3709893600044,a
354.909336793556,388.4018495371165,a
399.5405116667896,379.70118833786466,a
373.02485433408907,328.89551697615457,a
375.84850978455535,377.32234112101634,a
386.62023630240867,354.98690625728085,a
387.53079583191163,366.056209898062,a
359.0794961422147,363.80514973659393,a
371.9211379109011,367.39234983319017,a
396.6194849502462,347.1830258474944,a
396.11745975972246,395.29187605878826,a
419.0905602900407,442.40862260302134,a
402.6797858068395,393.5866984078432,a
420.82048200574684,372.0984522223962,a
447.48045289024975,383.8686756426782,a
433.5546122733384,355.6247117673448,a
422.5927873377568,377.39532436610864,a
427.3406626384698,393.25369829339354,a
433.56269921259315,363.0084907518106,a
417.3423433293064,380.9177978366809,a
455.87462121623633,371.87479854185256,a
447.97576269210634,371.08213458907323,a
469.816776916409,379.92814650102906,a
461.02375704352426,341.83375128309183,a
436.7795079684914,371.5654479291502,a
475.65356528372087,382.5569777945602,a
476.8535582715873,374.2727208029662,a
487.920718516918,359.93824096678577,a
484.25320710231324,350.7624629661261,a
466.8866319577692,373.19828133369595,a
522.3483762781173,380.1252075819779,a
473.15373535209267,401.963666154621,a
512.7728916192921,351.82760562821875,a
462.74542907012983,369.87687006625447,a
465.74368490512654,363.71440664234035,a
525.9572690669659,314.2104402700993,a
466.5324192051081,324.4755354388657,a
469.2305723913328,348.0169702806181,a
443.5841110238884,358.7325586021965,a
502.7394233037224,382.53073051834,a
483.44091696348016,414.7758910779314,a
494.99757001233894,391.9306135221891,a
491.8664436716836,351.9668241549082,a
489.2669371999585,381.7032555607915,a
505.3408626972442,359.3687491866218,a
463.46213712536036,331.25312704370265,a
477.6960019126943,390.8893765071376,a
506.4775835910489,322.49338798714336,a
504.6680525912129,331.2994152760476,a
526.5356591231833,371.64226313415577,a
502.1033061450653,336.6409771355486,a
462.35979785148186,393.65270523652254,a
482.68003043049816,316.25730085855605,a
491.068917470251,370.8245295655261,a
491.84834632890045,293.0147922591539,a
481.76219620953697,346.6145702865994,a
527.3705048845528,313.7143394279989,a
500.3179137674126,266.64575264323946,a
490.3507471813255,366.9430290759283,a
484.4840760080891,314.4104486068063,a
496.21224496469904,328.04453837530536,a
542.9727457543187,331.2165876182241,a
507.2126127576572,352.21381080256685,a
503.9351414350439,309.66113121068554,a
517.1026780975777,340.7550023264662,a
495.4366319436677,287.83304199897213,a
523.6136192740485,309.4170872284618,a
534.3951182678161,289.5038809986462,a
506.7400566677218,337.1657477662424,a
562.9869289963464,298.43305383366965,a
505.74354603265306,323.8571769145434,a
544.5336191808848,330.38064196296665,a
530.6401056977118,320.53834031192514,a
168.4278091220047,274.47824489533025,a
